locus_tag	ftype	length_bp	gene	EC_number	COG	product
LKDPMFFB_00026	mRNA	1176	btrK			
LKDPMFFB_00026	CDS	1176	btrK	4.1.1.95		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
LKDPMFFB_00027	gene	231				
LKDPMFFB_00027	mRNA	231				
LKDPMFFB_00027	CDS	231				hypothetical protein
LKDPMFFB_00028	gene	1551	patA_1			
LKDPMFFB_00028	mRNA	1551	patA_1			
LKDPMFFB_00028	CDS	1551	patA_1	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
LKDPMFFB_00029	gene	945				
LKDPMFFB_00029	mRNA	945				
LKDPMFFB_00029	CDS	945				hypothetical protein
LKDPMFFB_00030	gene	1029	aroG_1			
LKDPMFFB_00030	mRNA	1029	aroG_1			
LKDPMFFB_00030	CDS	1029	aroG_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
LKDPMFFB_00031	gene	1209	deoB			
LKDPMFFB_00031	mRNA	1209	deoB			
LKDPMFFB_00031	CDS	1209	deoB	5.4.2.7	COG1015	Phosphopentomutase
LKDPMFFB_00032	gene	1329	pdp			
LKDPMFFB_00032	mRNA	1329	pdp			
LKDPMFFB_00032	CDS	1329	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
LKDPMFFB_00033	gene	729	cobB			
LKDPMFFB_00033	mRNA	729	cobB			
LKDPMFFB_00033	CDS	729	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
LKDPMFFB_00034	gene	1191	dacF_1			
LKDPMFFB_00034	mRNA	1191	dacF_1			
LKDPMFFB_00034	CDS	1191	dacF_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
LKDPMFFB_00035	gene	1422	pccB_1			
LKDPMFFB_00035	mRNA	1422	pccB_1			
LKDPMFFB_00035	CDS	1422	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
LKDPMFFB_00036	gene	396				
LKDPMFFB_00036	mRNA	396				
LKDPMFFB_00036	CDS	396				hypothetical protein
LKDPMFFB_00037	gene	171				
LKDPMFFB_00037	mRNA	171				
LKDPMFFB_00037	CDS	171				hypothetical protein
LKDPMFFB_00038	gene	309				
LKDPMFFB_00038	mRNA	309				
LKDPMFFB_00038	CDS	309				hypothetical protein
LKDPMFFB_00039	gene	1290				
LKDPMFFB_00039	mRNA	1290				
LKDPMFFB_00039	CDS	1290				hypothetical protein
LKDPMFFB_00040	gene	807				
LKDPMFFB_00040	mRNA	807				
LKDPMFFB_00040	CDS	807				hypothetical protein
LKDPMFFB_00041	gene	981				
LKDPMFFB_00041	mRNA	981				
LKDPMFFB_00041	CDS	981				hypothetical protein
LKDPMFFB_00042	gene	345				
LKDPMFFB_00042	mRNA	345				
LKDPMFFB_00042	CDS	345				hypothetical protein
LKDPMFFB_00043	gene	279				
LKDPMFFB_00043	mRNA	279				
LKDPMFFB_00043	CDS	279				hypothetical protein
LKDPMFFB_00044	gene	1494	virD4			
LKDPMFFB_00044	mRNA	1494	virD4			
LKDPMFFB_00044	CDS	1494	virD4			Protein VirD4
LKDPMFFB_00045	gene	375				
LKDPMFFB_00045	mRNA	375				
LKDPMFFB_00045	CDS	375				hypothetical protein
LKDPMFFB_00046	gene	843				
LKDPMFFB_00046	mRNA	843				
LKDPMFFB_00046	CDS	843				hypothetical protein
LKDPMFFB_00047	gene	432				
LKDPMFFB_00047	mRNA	432				
LKDPMFFB_00047	CDS	432				hypothetical protein
LKDPMFFB_00048	gene	441				
LKDPMFFB_00048	mRNA	441				
LKDPMFFB_00048	CDS	441				hypothetical protein
LKDPMFFB_00049	gene	2331				
LKDPMFFB_00049	mRNA	2331				
LKDPMFFB_00049	CDS	2331				hypothetical protein
LKDPMFFB_00050	gene	351				
LKDPMFFB_00050	mRNA	351				
LKDPMFFB_00050	CDS	351				hypothetical protein
LKDPMFFB_00051	gene	1692				
LKDPMFFB_00051	mRNA	1692				
LKDPMFFB_00051	CDS	1692				hypothetical protein
LKDPMFFB_00052	gene	2262				
LKDPMFFB_00052	mRNA	2262				
LKDPMFFB_00052	CDS	2262				hypothetical protein
LKDPMFFB_00053	gene	561				
LKDPMFFB_00053	mRNA	561				
LKDPMFFB_00053	CDS	561				hypothetical protein
LKDPMFFB_00054	gene	714				
LKDPMFFB_00054	mRNA	714				
LKDPMFFB_00054	CDS	714				hypothetical protein
LKDPMFFB_00055	gene	1275				
LKDPMFFB_00055	mRNA	1275				
LKDPMFFB_00055	CDS	1275				hypothetical protein
LKDPMFFB_00056	gene	708				
LKDPMFFB_00056	mRNA	708				
LKDPMFFB_00056	CDS	708				hypothetical protein
LKDPMFFB_00057	gene	420				
LKDPMFFB_00057	mRNA	420				
LKDPMFFB_00057	CDS	420				hypothetical protein
LKDPMFFB_00058	gene	687				
LKDPMFFB_00058	mRNA	687				
LKDPMFFB_00058	CDS	687				hypothetical protein
LKDPMFFB_00059	gene	441				
LKDPMFFB_00059	mRNA	441				
LKDPMFFB_00059	CDS	441				hypothetical protein
LKDPMFFB_00060	gene	72				
LKDPMFFB_00060	mRNA	72				
LKDPMFFB_00060	tRNA	72				tRNA-Glu(ctc)
LKDPMFFB_00061	gene	900				
LKDPMFFB_00061	mRNA	900				
LKDPMFFB_00061	CDS	900				hypothetical protein
LKDPMFFB_00062	gene	303				
LKDPMFFB_00062	mRNA	303				
LKDPMFFB_00062	CDS	303				hypothetical protein
LKDPMFFB_00063	gene	252				
LKDPMFFB_00063	mRNA	252				
LKDPMFFB_00063	CDS	252				hypothetical protein
LKDPMFFB_00064	gene	327				
LKDPMFFB_00064	mRNA	327				
LKDPMFFB_00064	CDS	327				hypothetical protein
LKDPMFFB_00065	gene	1032	recA			
LKDPMFFB_00065	mRNA	1032	recA			
LKDPMFFB_00065	CDS	1032	recA			Protein RecA
LKDPMFFB_00066	gene	612	recX			
LKDPMFFB_00066	mRNA	612	recX			
LKDPMFFB_00066	CDS	612	recX			Regulatory protein RecX
LKDPMFFB_00067	gene	1551	rny			
LKDPMFFB_00067	mRNA	1551	rny			
LKDPMFFB_00067	CDS	1551	rny	3.1.-.-	COG1418	Ribonuclease Y
LKDPMFFB_00068	gene	951				
LKDPMFFB_00068	mRNA	951				
LKDPMFFB_00068	CDS	951				hypothetical protein
LKDPMFFB_00069	gene	876	focA			
LKDPMFFB_00069	mRNA	876	focA			
LKDPMFFB_00069	CDS	876	focA		COG2116	putative formate transporter 1
LKDPMFFB_00070	gene	327				
LKDPMFFB_00070	mRNA	327				
LKDPMFFB_00070	CDS	327				hypothetical protein
LKDPMFFB_00071	gene	1320	rimO			
LKDPMFFB_00071	mRNA	1320	rimO			
LKDPMFFB_00071	CDS	1320	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LKDPMFFB_00072	gene	540	pgsA			
LKDPMFFB_00072	mRNA	540	pgsA			
LKDPMFFB_00072	CDS	540	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LKDPMFFB_00073	gene	1248	cinA			
LKDPMFFB_00073	mRNA	1248	cinA			
LKDPMFFB_00073	CDS	1248	cinA		COG1058	Putative competence-damage inducible protein
LKDPMFFB_00074	gene	1269	lysA			
LKDPMFFB_00074	mRNA	1269	lysA			
LKDPMFFB_00074	CDS	1269	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
LKDPMFFB_00075	gene	1395				
LKDPMFFB_00075	mRNA	1395				
LKDPMFFB_00075	CDS	1395				hypothetical protein
LKDPMFFB_00076	gene	324				
LKDPMFFB_00076	mRNA	324				
LKDPMFFB_00076	CDS	324				hypothetical protein
LKDPMFFB_00077	gene	852				
LKDPMFFB_00077	mRNA	852				
LKDPMFFB_00077	CDS	852				hypothetical protein
LKDPMFFB_00078	gene	384				
LKDPMFFB_00078	mRNA	384				
LKDPMFFB_00078	CDS	384				hypothetical protein
LKDPMFFB_00079	gene	156				
LKDPMFFB_00079	mRNA	156				
LKDPMFFB_00079	CDS	156				hypothetical protein
LKDPMFFB_00080	gene	189	rpmB			
LKDPMFFB_00080	mRNA	189	rpmB			
LKDPMFFB_00080	CDS	189	rpmB		COG0227	50S ribosomal protein L28
LKDPMFFB_00081	gene	360				
LKDPMFFB_00081	mRNA	360				
LKDPMFFB_00081	CDS	360				putative protein
LKDPMFFB_00082	gene	1692				
LKDPMFFB_00082	mRNA	1692				
LKDPMFFB_00082	CDS	1692				putative protein
LKDPMFFB_00083	gene	2034	recG			
LKDPMFFB_00083	mRNA	2034	recG			
LKDPMFFB_00083	CDS	2034	recG	3.6.4.12		ATP-dependent DNA helicase RecG
LKDPMFFB_00084	gene	627	pspB			
LKDPMFFB_00084	mRNA	627	pspB			
LKDPMFFB_00084	CDS	627	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
LKDPMFFB_00085	gene	552	rlmL_1			
LKDPMFFB_00085	mRNA	552	rlmL_1			
LKDPMFFB_00085	CDS	552	rlmL_1	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
LKDPMFFB_00086	gene	651				
LKDPMFFB_00086	mRNA	651				
LKDPMFFB_00086	CDS	651				hypothetical protein
LKDPMFFB_00087	gene	705				
LKDPMFFB_00087	mRNA	705				
LKDPMFFB_00087	CDS	705				hypothetical protein
LKDPMFFB_00088	gene	1614	fadD_1			
LKDPMFFB_00088	mRNA	1614	fadD_1			
LKDPMFFB_00088	CDS	1614	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LKDPMFFB_00089	gene	1716	lcfB			
LKDPMFFB_00089	mRNA	1716	lcfB			
LKDPMFFB_00089	CDS	1716	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LKDPMFFB_00090	gene	924				
LKDPMFFB_00090	mRNA	924				
LKDPMFFB_00090	CDS	924				hypothetical protein
LKDPMFFB_00091	gene	1092				
LKDPMFFB_00091	mRNA	1092				
LKDPMFFB_00091	CDS	1092				hypothetical protein
LKDPMFFB_00092	gene	1050				
LKDPMFFB_00092	mRNA	1050				
LKDPMFFB_00092	CDS	1050				hypothetical protein
LKDPMFFB_00093	gene	933				
LKDPMFFB_00093	mRNA	933				
LKDPMFFB_00093	CDS	933				hypothetical protein
LKDPMFFB_00094	gene	765				
LKDPMFFB_00094	mRNA	765				
LKDPMFFB_00094	CDS	765				hypothetical protein
LKDPMFFB_00095	gene	702				
LKDPMFFB_00095	mRNA	702				
LKDPMFFB_00095	CDS	702			COG1136	putative ABC transporter ATP-binding protein
LKDPMFFB_00096	gene	2433				
LKDPMFFB_00096	mRNA	2433				
LKDPMFFB_00096	CDS	2433				hypothetical protein
LKDPMFFB_00097	gene	888				
LKDPMFFB_00097	mRNA	888				
LKDPMFFB_00097	CDS	888				hypothetical protein
LKDPMFFB_00098	gene	885				
LKDPMFFB_00098	mRNA	885				
LKDPMFFB_00098	CDS	885				hypothetical protein
LKDPMFFB_00099	gene	507				
LKDPMFFB_00099	mRNA	507				
LKDPMFFB_00099	CDS	507				hypothetical protein
LKDPMFFB_00100	gene	195				
LKDPMFFB_00100	mRNA	195				
LKDPMFFB_00100	CDS	195				hypothetical protein
LKDPMFFB_00101	gene	381				
LKDPMFFB_00101	mRNA	381				
LKDPMFFB_00101	CDS	381				hypothetical protein
LKDPMFFB_00102	gene	1113				
LKDPMFFB_00102	mRNA	1113				
LKDPMFFB_00102	CDS	1113				hypothetical protein
LKDPMFFB_00103	gene	534				
LKDPMFFB_00103	mRNA	534				
LKDPMFFB_00103	CDS	534				hypothetical protein
LKDPMFFB_00104	gene	462				
LKDPMFFB_00104	mRNA	462				
LKDPMFFB_00104	CDS	462				hypothetical protein
LKDPMFFB_00105	gene	573				
LKDPMFFB_00105	mRNA	573				
LKDPMFFB_00105	CDS	573				hypothetical protein
LKDPMFFB_00106	gene	429				
LKDPMFFB_00106	mRNA	429				
LKDPMFFB_00106	CDS	429			COG1302	Alkaline shock protein 23
LKDPMFFB_00107	gene	429	nusB			
LKDPMFFB_00107	mRNA	429	nusB			
LKDPMFFB_00107	CDS	429	nusB		COG0781	Transcription antitermination protein NusB
LKDPMFFB_00108	gene	1224	xseA			
LKDPMFFB_00108	mRNA	1224	xseA			
LKDPMFFB_00108	CDS	1224	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
LKDPMFFB_00109	gene	210	xseB			
LKDPMFFB_00109	mRNA	210	xseB			
LKDPMFFB_00109	CDS	210	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
LKDPMFFB_00110	gene	894				
LKDPMFFB_00110	mRNA	894				
LKDPMFFB_00110	CDS	894		2.5.1.10		Farnesyl diphosphate synthase
LKDPMFFB_00111	gene	1293	murAB			
LKDPMFFB_00111	mRNA	1293	murAB			
LKDPMFFB_00111	CDS	1293	murAB	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
LKDPMFFB_00112	gene	1818	hisC_1			
LKDPMFFB_00112	mRNA	1818	hisC_1			
LKDPMFFB_00112	CDS	1818	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
LKDPMFFB_00113	gene	651				
LKDPMFFB_00113	mRNA	651				
LKDPMFFB_00113	CDS	651				hypothetical protein
LKDPMFFB_00114	gene	603				
LKDPMFFB_00114	mRNA	603				
LKDPMFFB_00114	CDS	603		3.1.3.3	COG0560	Phosphoserine phosphatase
LKDPMFFB_00115	gene	1557				
LKDPMFFB_00115	mRNA	1557				
LKDPMFFB_00115	CDS	1557				hypothetical protein
LKDPMFFB_00116	gene	516	aroL			
LKDPMFFB_00116	mRNA	516	aroL			
LKDPMFFB_00116	CDS	516	aroL	2.7.1.71		Shikimate kinase 2
LKDPMFFB_00117	gene	564	flr			
LKDPMFFB_00117	mRNA	564	flr			
LKDPMFFB_00117	CDS	564	flr			Flavoredoxin
LKDPMFFB_00118	gene	1638				
LKDPMFFB_00118	mRNA	1638				
LKDPMFFB_00118	CDS	1638		3.6.1.1		Cobalt-dependent inorganic pyrophosphatase
LKDPMFFB_00119	gene	615	lacA			
LKDPMFFB_00119	mRNA	615	lacA			
LKDPMFFB_00119	CDS	615	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
LKDPMFFB_00120	gene	966				
LKDPMFFB_00120	mRNA	966				
LKDPMFFB_00120	CDS	966				hypothetical protein
LKDPMFFB_00121	gene	432	dtd_1			
LKDPMFFB_00121	mRNA	432	dtd_1			
LKDPMFFB_00121	CDS	432	dtd_1	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
LKDPMFFB_00122	gene	1986	tkt			
LKDPMFFB_00122	mRNA	1986	tkt			
LKDPMFFB_00122	CDS	1986	tkt	2.2.1.1		Transketolase
LKDPMFFB_00123	gene	2400				
LKDPMFFB_00123	mRNA	2400				
LKDPMFFB_00123	CDS	2400				hypothetical protein
LKDPMFFB_00124	gene	1581				
LKDPMFFB_00124	mRNA	1581				
LKDPMFFB_00124	CDS	1581				hypothetical protein
LKDPMFFB_00125	gene	1617	udk			
LKDPMFFB_00125	mRNA	1617	udk			
LKDPMFFB_00125	CDS	1617	udk	2.7.1.48		Uridine kinase
LKDPMFFB_00126	gene	774				
LKDPMFFB_00126	mRNA	774				
LKDPMFFB_00126	CDS	774			COG0327	GTP cyclohydrolase 1 type 2 
LKDPMFFB_00127	gene	696	trmK			
LKDPMFFB_00127	mRNA	696	trmK			
LKDPMFFB_00127	CDS	696	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
LKDPMFFB_00128	gene	1113	sigA			
LKDPMFFB_00128	mRNA	1113	sigA			
LKDPMFFB_00128	CDS	1113	sigA		COG0568	RNA polymerase sigma factor SigA
LKDPMFFB_00129	gene	1752	dnaG			
LKDPMFFB_00129	mRNA	1752	dnaG			
LKDPMFFB_00129	CDS	1752	dnaG	2.7.7.-	COG0358	DNA primase
LKDPMFFB_00130	gene	1008				
LKDPMFFB_00130	mRNA	1008				
LKDPMFFB_00130	CDS	1008				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
LKDPMFFB_00131	gene	429	yqhS			
LKDPMFFB_00131	mRNA	429	yqhS			
LKDPMFFB_00131	CDS	429	yqhS	4.2.1.10	COG0757	3-dehydroquinate dehydratase
LKDPMFFB_00132	gene	528	aroK			
LKDPMFFB_00132	mRNA	528	aroK			
LKDPMFFB_00132	CDS	528	aroK	2.7.1.71	COG0703	Shikimate kinase
LKDPMFFB_00133	gene	861	aroE			
LKDPMFFB_00133	mRNA	861	aroE			
LKDPMFFB_00133	CDS	861	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
LKDPMFFB_00134	gene	501				
LKDPMFFB_00134	mRNA	501				
LKDPMFFB_00134	CDS	501				hypothetical protein
LKDPMFFB_00135	gene	450	nrdR			
LKDPMFFB_00135	mRNA	450	nrdR			
LKDPMFFB_00135	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
LKDPMFFB_00136	gene	258	ylmC			
LKDPMFFB_00136	mRNA	258	ylmC			
LKDPMFFB_00136	CDS	258	ylmC		COG1873	putative sporulation protein YlmC
LKDPMFFB_00137	gene	1119	tagU_1			
LKDPMFFB_00137	mRNA	1119	tagU_1			
LKDPMFFB_00137	CDS	1119	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
LKDPMFFB_00138	gene	624	sigK			
LKDPMFFB_00138	mRNA	624	sigK			
LKDPMFFB_00138	CDS	624	sigK			RNA polymerase sigma-28 factor
LKDPMFFB_00139	gene	1224				
LKDPMFFB_00139	mRNA	1224				
LKDPMFFB_00139	CDS	1224				hypothetical protein
LKDPMFFB_00140	gene	654	trmR			
LKDPMFFB_00140	mRNA	654	trmR			
LKDPMFFB_00140	CDS	654	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
LKDPMFFB_00141	gene	393	mltG			
LKDPMFFB_00141	mRNA	393	mltG			
LKDPMFFB_00141	CDS	393	mltG	4.2.2.-		Endolytic murein transglycosylase
LKDPMFFB_00142	gene	369				
LKDPMFFB_00142	mRNA	369				
LKDPMFFB_00142	CDS	369				hypothetical protein
LKDPMFFB_00143	gene	1671	rnjA			
LKDPMFFB_00143	mRNA	1671	rnjA			
LKDPMFFB_00143	CDS	1671	rnjA	3.1.-.-	COG0595	Ribonuclease J1
LKDPMFFB_00144	gene	255				
LKDPMFFB_00144	mRNA	255				
LKDPMFFB_00144	CDS	255				hypothetical protein
LKDPMFFB_00145	gene	435	yrrK			
LKDPMFFB_00145	mRNA	435	yrrK			
LKDPMFFB_00145	CDS	435	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
LKDPMFFB_00146	gene	261				
LKDPMFFB_00146	mRNA	261				
LKDPMFFB_00146	CDS	261				hypothetical protein
LKDPMFFB_00147	gene	1077	mtaB			
LKDPMFFB_00147	mRNA	1077	mtaB			
LKDPMFFB_00147	CDS	1077	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
LKDPMFFB_00148	gene	294				
LKDPMFFB_00148	mRNA	294				
LKDPMFFB_00148	CDS	294				hypothetical protein
LKDPMFFB_00149	gene	720	glmU_1			
LKDPMFFB_00149	mRNA	720	glmU_1			
LKDPMFFB_00149	CDS	720	glmU_1	2.7.7.23		Bifunctional protein GlmU
LKDPMFFB_00150	gene	1569	betL			
LKDPMFFB_00150	mRNA	1569	betL			
LKDPMFFB_00150	CDS	1569	betL		COG1292	Glycine betaine transporter BetL
LKDPMFFB_00151	gene	1059				
LKDPMFFB_00151	mRNA	1059				
LKDPMFFB_00151	CDS	1059				hypothetical protein
LKDPMFFB_00152	gene	1173				
LKDPMFFB_00152	mRNA	1173				
LKDPMFFB_00152	CDS	1173				hypothetical protein
LKDPMFFB_00153	gene	1137				
LKDPMFFB_00153	mRNA	1137				
LKDPMFFB_00153	CDS	1137				hypothetical protein
LKDPMFFB_00154	gene	1137	glgA_2			
LKDPMFFB_00154	mRNA	1137	glgA_2			
LKDPMFFB_00154	CDS	1137	glgA_2	2.4.1.21		Glycogen synthase
LKDPMFFB_00155	gene	1311				
LKDPMFFB_00155	mRNA	1311				
LKDPMFFB_00155	CDS	1311				hypothetical protein
LKDPMFFB_00156	gene	1140	gtfA			
LKDPMFFB_00156	mRNA	1140	gtfA			
LKDPMFFB_00156	CDS	1140	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
LKDPMFFB_00157	gene	1200	cotSA			
LKDPMFFB_00157	mRNA	1200	cotSA			
LKDPMFFB_00157	CDS	1200	cotSA	2.4.-.-	COG0438	Spore coat protein SA
LKDPMFFB_00158	gene	1551				
LKDPMFFB_00158	mRNA	1551				
LKDPMFFB_00158	CDS	1551				hypothetical protein
LKDPMFFB_00159	gene	1389				
LKDPMFFB_00159	mRNA	1389				
LKDPMFFB_00159	CDS	1389		4.2.1.159		dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase
LKDPMFFB_00160	gene	1038	spnN			
LKDPMFFB_00160	mRNA	1038	spnN			
LKDPMFFB_00160	CDS	1038	spnN	1.1.1.384		dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
LKDPMFFB_00161	gene	891				
LKDPMFFB_00161	mRNA	891				
LKDPMFFB_00161	CDS	891				hypothetical protein
LKDPMFFB_00162	gene	825				
LKDPMFFB_00162	mRNA	825				
LKDPMFFB_00162	CDS	825				hypothetical protein
LKDPMFFB_00163	gene	417	mgtE			
LKDPMFFB_00163	mRNA	417	mgtE			
LKDPMFFB_00163	CDS	417	mgtE		COG2239	Magnesium transporter MgtE
LKDPMFFB_00164	gene	1380	mepA_1			
LKDPMFFB_00164	mRNA	1380	mepA_1			
LKDPMFFB_00164	CDS	1380	mepA_1		COG0534	Multidrug export protein MepA
LKDPMFFB_00165	gene	1128				
LKDPMFFB_00165	mRNA	1128				
LKDPMFFB_00165	CDS	1128		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
LKDPMFFB_00166	gene	525				
LKDPMFFB_00166	mRNA	525				
LKDPMFFB_00166	CDS	525				hypothetical protein
LKDPMFFB_00167	gene	1194	aspC			
LKDPMFFB_00167	mRNA	1194	aspC			
LKDPMFFB_00167	CDS	1194	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
LKDPMFFB_00168	gene	1062	hisC_2			
LKDPMFFB_00168	mRNA	1062	hisC_2			
LKDPMFFB_00168	CDS	1062	hisC_2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
LKDPMFFB_00169	gene	411				
LKDPMFFB_00169	mRNA	411				
LKDPMFFB_00169	CDS	411				hypothetical protein
LKDPMFFB_00170	gene	843				
LKDPMFFB_00170	mRNA	843				
LKDPMFFB_00170	CDS	843				hypothetical protein
LKDPMFFB_00171	gene	636	dnaJ_1			
LKDPMFFB_00171	mRNA	636	dnaJ_1			
LKDPMFFB_00171	CDS	636	dnaJ_1			Chaperone protein DnaJ
LKDPMFFB_00172	gene	1272	fpgS_1			
LKDPMFFB_00172	mRNA	1272	fpgS_1			
LKDPMFFB_00172	CDS	1272	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
LKDPMFFB_00173	gene	141				
LKDPMFFB_00173	mRNA	141				
LKDPMFFB_00173	CDS	141				hypothetical protein
LKDPMFFB_00174	gene	1383				
